"Exports & Imports by NAICS Commodities by country 2024"
"Current date: 04/03/2025 3:28 AM (Eastern Daylight Time)"
"Commodity: All Commodities"
"District: All Districts Total"
"Time: 2024"
"Country","Total Exports Value ($US)","Domestic Exports Value ($US)","Foreign Exports Value ($US)","Customs Import Value (Gen) ($US)","CIF Import Value (Gen) ($US)","Customs Import Value (Cons) ($US)","CIF Import Value (Cons) ($US)","Balance ($US)",
"Dominican Republic","13,081,661,072","12,261,182,365","820,478,707","7,505,430,838","7,726,313,844","7,506,673,051","7,728,192,460","5,576,230,234"
"Ecuador","7,531,653,753","7,059,094,767","472,558,986","8,524,306,263","9,095,402,463","8,704,750,764","9,278,036,167","-992,652,510"
"Egypt","6,092,022,475","5,839,032,392","252,990,083","2,546,000,141","2,718,286,711","2,560,255,078","2,732,699,018","3,546,022,334"
"El Salvador","4,556,353,458","4,128,723,318","427,630,140","2,311,212,791","2,409,539,869","2,302,567,490","2,401,016,434","2,245,140,667"
"Equatorial Guinea","95,379,691","78,627,884","16,751,807","127,640,788","137,845,483","127,706,118","137,912,412","-32,261,097"
"Eritrea","37,475,441","37,438,357","37,084","852,918","885,479","852,918","885,479","36,622,523"
"Estonia","373,874,186","293,648,615","80,225,571","1,065,403,980","1,097,242,738","1,061,966,627","1,093,785,032","-691,529,794"
"Eswatini","46,113,517","45,490,089","623,428","22,588,609","23,309,481","22,590,171","23,311,066","23,524,908"
"Ethiopia","1,017,706,562","925,857,639","91,848,923","465,844,335","488,731,773","468,231,580","491,148,883","551,862,227"
"Falkland Islands (Islas Malvinas)","4,092,467","3,895,776","196,691","22,756,661","23,327,392","22,756,661","23,327,392","-18,664,194"
"Faroe Islands","1,372,159","1,279,113","93,046","249,452,532","286,232,433","249,405,143","286,181,654","-248,080,373"
"Fiji","94,679,571","81,474,211","13,205,360","259,272,473","347,472,950","259,272,473","347,472,950","-164,592,902"
"Finland","2,564,091,906","2,379,165,787","184,926,119","8,029,516,710","8,246,957,157","8,068,030,831","8,297,885,940","-5,465,424,804"
"France","43,520,382,081","36,548,197,062","6,972,185,019","59,903,267,951","61,052,880,989","60,123,818,972","61,288,470,495","-16,382,885,870"
"French Guiana","28,999,681","27,634,406","1,365,275","1,821,129","1,868,118","1,820,100","1,867,124","27,178,552"
"French Polynesia","145,197,570","134,339,969","10,857,601","40,423,270","43,603,651","40,828,991","44,019,425","104,774,300"
"French Southern and Antarctic Lands","2,248,567","2,215,929","32,638","36,412","38,265","36,412","38,257","2,212,155"
"Gabon","171,065,105","165,011,091","6,054,014","171,666,854","183,209,867","203,386,007","216,632,399","-601,749"
"Gambia","80,563,522","80,031,813","531,709","1,969,897","2,166,640","1,969,897","2,166,640","78,593,625"
"Gaza Strip Administered by Israel","559,747","559,747","","204,870","214,264","42,907","47,909","354,877"
"Georgia","1,736,461,692","1,634,995,751","101,465,941","165,414,171","176,709,508","166,525,116","175,222,850","1,571,047,521"
"Germany","75,612,902,972","65,590,763,628","10,022,139,344","160,436,547,928","163,546,205,017","160,324,817,226","163,443,750,678","-84,823,644,956"
"Ghana","967,304,543","889,352,853","77,951,690","1,171,728,486","1,211,925,587","1,242,729,500","1,283,800,388","-204,423,943"
"Gibraltar","650,596,519","635,614,664","14,981,855","431,179","435,367","431,179","435,367","650,165,340"
"Greece","2,613,888,774","2,525,462,915","88,425,859","2,243,610,292","2,401,134,839","2,247,358,182","2,404,675,047","370,278,482"
"Greenland","48,420,782","47,531,483","889,299","32,585,481","33,195,869","32,585,481","33,195,869","15,835,301"
"Grenada","165,335,817","155,124,587","10,211,230","14,074,818","15,897,546","13,970,248","15,792,967","151,260,999"
"Guadeloupe","470,637,794","411,279,805","59,357,989","3,427,661","3,651,063","3,430,401","3,653,808","467,210,133"
"Guatemala","9,714,801,951","9,007,466,969","707,334,982","5,019,892,412","5,464,661,786","5,026,556,132","5,471,185,293","4,694,909,539"
"Guinea","138,336,186","135,300,801","3,035,385","6,179,835","6,576,011","6,177,780","6,573,946","132,156,351"
"Guinea-Bissau","3,394,912","3,391,477","3,435","122,848","130,235","122,848","130,235","3,272,064"
"Guyana","1,314,930,530","1,163,805,700","151,124,830","5,375,488,660","5,510,405,563","5,220,773,174","5,352,615,721","-4,060,558,130"
"Haiti","1,214,423,999","1,130,722,438","83,701,561","616,770,785","641,768,953","630,730,430","655,875,329","597,653,214"
"Heard and McDonald Islands","58,879","43,294","15,585","13,589","15,067","13,589","15,067","45,290"
"Honduras","7,057,473,677","6,714,308,628","343,165,049","5,532,561,721","5,799,935,253","5,525,106,347","5,791,272,750","1,524,911,956"
"Hong Kong","27,886,366,138","12,880,632,218","15,005,733,920","5,972,900,454","6,052,689,610","5,921,326,548","6,002,567,932","21,913,465,684"
"Hungary","3,260,923,937","1,956,183,574","1,304,740,363","12,703,931,455","12,848,296,964","12,472,182,741","12,611,517,353","-9,443,007,518"
"Iceland","985,844,921","696,941,983","288,902,938","1,072,626,837","1,114,171,538","1,081,287,538","1,122,918,769","-86,781,916"
"India","41,752,667,968","34,337,156,335","7,415,511,633","87,416,448,578","91,234,523,403","87,793,999,313","91,549,270,974","-45,663,780,610"
"Indonesia","10,202,095,720","9,762,084,550","440,011,170","28,084,737,884","29,549,440,195","28,137,482,235","29,609,098,995","-17,882,642,164"
"Iran","90,847,430","61,551,058","29,296,372","6,218,491","6,293,695","6,218,491","6,293,695","84,628,939"
"Iraq","1,660,554,212","1,418,436,734","242,117,478","7,422,275,381","7,689,608,697","7,595,578,821","7,880,172,925","-5,761,721,169"
"Ireland","16,538,031,298","14,516,404,559","2,021,626,739","103,286,253,424","103,755,091,619","99,876,141,642","100,315,711,601","-86,748,222,126"
"Israel","14,792,034,960","10,745,406,832","4,046,628,128","22,217,484,849","22,523,385,991","22,719,409,741","23,007,639,607","-7,425,449,889"
"Italy","32,402,003,335","29,207,805,465","3,194,197,870","76,366,488,191","78,420,138,209","76,172,391,356","78,229,127,085","-43,964,484,856"
"Jamaica","2,644,127,532","2,439,014,776","205,112,756","361,372,579","376,340,388","359,525,357","374,460,079","2,282,754,953"
"Japan","79,740,845,546","71,080,282,683","8,660,562,863","148,208,566,623","152,066,015,572","151,290,260,357","155,267,458,541","-68,467,721,077"
"Jordan","2,030,784,950","1,908,646,257","122,138,693","3,364,877,293","3,443,925,654","3,386,992,473","3,466,512,261","-1,334,092,343"
"Kazakhstan","1,077,097,171","944,749,434","132,347,737","2,330,749,420","2,409,678,968","2,344,894,988","2,437,837,724","-1,253,652,249"
"Kenya","782,524,079","736,161,167","46,362,912","737,305,128","758,904,414","738,513,385","760,136,650","45,218,951"
"Kiribati","4,220,009","3,910,862","309,147","808,162","958,008","802,433","952,199","3,411,847"
"Korea, North","1,528,597","1,234,174","294,423","57,465","57,465","","","1,471,132"
"Korea, South","65,541,790,418","61,505,356,080","4,036,434,338","131,549,187,120","135,461,350,936","130,471,361,727","134,385,471,722","-66,007,396,702"
"Kosovo","49,388,369","47,811,970","1,576,399","34,015,946","36,519,270","34,015,946","36,519,270","15,372,423"
"Kuwait","2,411,831,329","2,222,607,761","189,223,568","1,643,605,750","1,747,559,174","1,704,489,354","1,809,065,075","768,225,579"
"Kyrgyzstan","133,144,912","89,035,267","44,109,645","16,668,370","17,171,378","16,668,370","17,171,378","116,476,542"
"Laos","40,385,293","36,514,972","3,870,321","803,320,155","849,742,643","808,880,806","852,875,546","-762,934,862"
"Latvia","545,858,791","389,491,507","156,367,284","630,724,805","675,733,368","637,725,347","683,551,694","-84,866,014"
"Lebanon","541,421,719","462,811,928","78,609,791","257,571,987","268,296,926","258,432,832","269,157,282","283,849,732"
"Lesotho","2,794,513","2,637,392","157,121","237,257,685","242,456,058","258,819,440","264,020,127","-234,463,172"
"Liberia","220,400,195","214,667,089","5,733,106","72,529,569","73,771,573","72,251,343","73,493,061","147,870,626"
"Libya","567,220,437","537,435,294","29,785,143","1,465,562,558","1,492,246,677","2,541,953,500","2,627,298,272","-898,342,121"
"Liechtenstein","66,040,890","61,712,845","4,328,045","243,720,520","246,229,229","242,075,879","244,530,023","-177,679,630"
