Errors,Blunders,Moves,Eq Move,Cost Move,Double Errors,Double Blunders,Doubles,Eq Double,Cost Double,Take Errors,Take Blunders,Takes,Eq Take,Cost Take,Eq Wrong Double,Cost Wrong Double,Eq Wrong Take,Cost Wrong Take,Outplay,Resign Errors,Resign Blunders,Eq Resign,Cost Resign,Take Resign Errors,Take Resign Blunders,Eq Take Resign,Cost Take Resign,Jokers,Anti Jokers,Rolls,Luck,Cost luck,Date,Score,Opp Score,Match Length,Result,Eq per Decision,Checker play,Cube play,Elo Level,Level,Opp Elo,Opp Eq per move,Opp mwc,Variation,Rated,Games,Opp Decisions,Double,Roll,Opp Double,Opp Roll
8,4,59,-0.954,-0.3061,1,0,4,-0.032,-0.0032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,145,1.357,0.4832,27/09/2014 11:39,3,2,3,1,-0.0154,-0.0162,-0.0065,1799,Advanced,1780,-0.0165,-0.3526,0,1,4,70,14,72,8,73
13,6,80,-1.441,-0.4806,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,188,-0.094,-0.182,27/09/2014 11:20,3,2,3,1,-0.0176,-0.018,0,1757,Advanced,1780,-0.0385,-1.1847,0,1,3,81,7,100,17,98
14,6,93,-1.565,-0.326,3,3,10,-0.338,-0.0266,2,2,4,-1.025,-0.0998,0,0,-0.461,-0.0292,0,0,0,0,0,0,0,0,0,7,14,219,-1.438,0.6214,27/09/2014 10:54,7,6,7,1,-0.0274,-0.0168,-0.0974,1565,Intermediate,1780,-0.0177,-0.2879,0,1,6,102,18,113,21,113
19,15,95,-3.192,-0.2992,0,0,7,-0.017,-0.0013,0,0,2,-0.01,-0.0015,0,0,-0.01,-0.0015,0,0,0,0,0,0,0,0,0,12,14,235,-3.315,-0.6218,22/09/2014 22:12,2,7,7,0,-0.0309,-0.0336,-0.0029,1493,Intermediate,1780,-0.027,-0.3937,0,1,5,142,22,118,18,116
12,6,85,-1.487,-0.2584,3,2,13,-0.537,-0.0454,0,0,1,0,0,-0.041,-0.0035,0,0,0,0,0,0,0,0,0,0,0,10,6,191,-0.86,-0.8469,22/09/2014 22:12,4,5,5,0,-0.0204,-0.0175,-0.0384,1702,Advanced,1780,-0.0349,-0.6618,0,1,6,108,21,96,16,98
15,5,87,-1.374,-0.1527,8,6,22,-0.944,-0.0738,1,1,2,-0.789,-0.0583,-0.039,-0.0033,-0.789,-0.0583,0,0,0,0,0,0,0,0,0,13,10,181,1.627,0.529,21/09/2014 23:35,6,3,5,1,-0.028,-0.0158,-0.0722,1552,Intermediate,1780,-0.0267,-0.2556,0,1,5,83,16,93,11,92
11,2,61,-0.999,-0.1103,3,3,10,-0.376,-0.0283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,149,2.754,0.3328,21/09/2014 23:12,7,0,5,1,-0.0194,-0.0164,-0.0376,1723,Advanced,1780,-0.0444,-0.3137,0,1,4,75,10,77,17,76
12,8,68,-1.353,-0.1914,2,1,12,-0.189,-0.0209,0,0,1,0,0,-0.121,-0.0103,0,0,0,0,0,0,0,0,0,0,0,10,12,168,-0.132,0.203,21/09/2014 20:02,5,3,5,1,-0.019,-0.0199,-0.0146,1729,Advanced,1780,-0.0395,-0.4521,0,1,5,100,20,86,12,85
11,7,58,-1.58,-0.2742,2,1,6,-0.19,-0.0156,0,0,1,0,0,-0.179,-0.0144,0,0,0,0,0,0,0,0,0,0,0,12,4,133,2.361,0.4336,21/09/2014 19:39,6,2,5,1,-0.0272,-0.0272,-0.0272,1567,Intermediate,1780,-0.0396,-0.3868,0,1,3,68,23,71,10,71
22,11,90,-2.414,-0.4679,3,0,28,-0.191,-0.0148,1,1,2,-0.108,-0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,186,2.829,0.5446,21/09/2014 18:48,6,4,5,1,-0.0226,-0.0268,-0.01,1659,Advanced,1780,-0.03,-0.3584,0,1,5,79,17,96,20,96
11,3,74,-0.812,-0.2272,1,0,3,-0.044,-0.0055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,153,-1.837,-0.6571,21/09/2014 18:20,2,5,3,0,-0.011,-0.011,-0.011,1880,Expert,1780,-0.0247,-0.4126,0,1,4,67,8,76,15,76
6,3,22,-0.543,-0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,75,1.717,0.8584,21/09/2014 18:20,1,0,1,1,-0.0247,-0.0247,0,1618,Advanced,1780,-0.0039,-0.0449,0,1,1,35,5,39,5,39
18,6,95,-1.675,-0.1459,3,2,14,-0.407,-0.051,1,1,3,-0.281,-0.0187,-0.254,-0.0401,0,0,0,0,0,0,0,0,0,0,0,16,11,228,3.398,0.4158,21/09/2014 11:38,7,1,7,1,-0.0211,-0.0176,-0.0404,1689,Advanced,1780,-0.0303,-0.3146,0,1,6,116,16,110,18,113
11,3,67,-1.291,-0.3106,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,148,-0.492,-0.1912,21/09/2014 11:38,3,1,3,1,-0.0177,-0.0193,0,1756,Advanced,1780,-0.0408,-0.8841,0,1,3,92,4,77,7,76
3,0,31,-0.188,-0.0861,0,0,4,-0.002,-0.0003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,63,0.159,0.4047,20/09/2014 19:50,2,0,2,1,-0.0053,-0.0061,-0.0003,1978,World Class,1780,-0.0222,-0.2117,0,1,1,35,2,31,8,31
5,3,34,-0.872,-0.2123,0,0,3,-0.018,-0.0032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,86,1.729,0.5331,20/09/2014 19:50,2,1,2,1,-0.0234,-0.0256,-0.0045,1644,Advanced,1780,-0.012,-0.12,0,1,2,43,11,42,9,42
10,2,49,-0.863,-0.2412,0,0,6,-0.001,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,108,0.667,0.5659,20/09/2014 19:50,2,1,2,1,-0.0154,-0.0176,-0.0001,1798,Advanced,1780,-0.0226,-0.2575,0,1,3,56,15,57,7,55
4,2,24,-0.547,-0.1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,66,1.38,0.6902,20/09/2014 19:50,1,0,1,1,-0.0228,-0.0228,0,1656,Advanced,1780,0,-0.0004,0,1,1,28,5,32,3,33
3,0,12,-0.195,-0.0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-0.919,-0.4594,20/09/2014 19:50,0,1,1,0,-0.0163,-0.0163,0,1782,Advanced,1780,-0.0008,-0.0059,0,1,1,21,3,22,4,22
7,4,36,-0.889,-0.1144,3,1,10,-0.203,-0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,94,2.161,0.3762,20/09/2014 17:43,4,0,3,1,-0.0237,-0.0247,-0.0203,1637,Advanced,1780,-0.039,-0.3288,0,1,1,50,9,47,7,47
