"ACT","Conservative","Green","Labour","Mana","Maori","National","NZ_First","United Future","NatCoal","LabGreen","LabGreenMaori","LabGreenNZFirst","NatCoalNZFirst","Total"
1,0,7,42,1,3,52,16,0,56,49,52,65,72,122
0,0,10,44,1,4,51,13,0,55,54,58,67,68,123
1,0,9,39,0,2,58,11,0,61,48,50,59,72,120
1,0,8,40,1,3,50,21,0,54,48,51,69,75,124
1,0,6,46,0,2,52,14,0,55,52,54,66,69,121
1,0,7,49,1,5,49,13,0,55,56,61,69,68,125
1,0,9,40,0,3,52,16,0,56,49,52,65,72,121
1,0,6,48,1,4,52,10,0,57,54,58,64,67,122
1,0,7,48,1,4,50,14,0,55,55,59,69,69,125
1,0,8,45,1,4,51,14,0,56,53,57,67,70,124
2,0,8,43,1,4,51,12,0,57,51,55,63,69,121
1,0,0,51,0,3,54,12,0,58,51,54,63,70,121
1,0,8,41,0,4,55,14,0,60,49,53,63,74,123
1,0,7,48,0,2,52,11,0,55,55,57,66,66,121
1,0,9,44,0,2,51,14,0,54,53,55,67,68,121
1,0,9,42,1,4,50,15,0,55,51,55,66,70,122
2,0,0,47,0,1,59,11,0,62,47,48,58,73,120
1,0,9,37,0,4,57,14,0,62,46,50,60,76,122
0,0,6,43,0,4,54,15,0,58,49,53,64,73,122
1,0,7,42,1,3,55,11,0,59,49,52,60,70,120
2,0,0,46,1,2,53,17,0,57,46,48,63,74,121
0,0,13,38,1,3,54,13,0,57,51,54,64,70,122
2,0,10,44,0,3,51,11,0,56,54,57,65,67,121
0,0,0,47,1,4,57,16,0,61,47,51,63,77,125
1,0,6,45,0,4,53,14,0,58,51,55,65,72,123
1,0,7,44,0,3,49,17,0,53,51,54,68,70,121
1,0,9,44,0,3,51,14,0,55,53,56,67,69,122
1,0,12,40,1,4,55,10,0,60,52,56,62,70,123
1,0,9,41,1,2,54,13,0,57,50,52,63,70,121
1,0,8,47,1,3,51,12,0,55,55,58,67,67,123
1,0,10,46,1,4,48,14,0,53,56,60,70,67,124
1,0,8,44,0,4,46,19,0,51,52,56,71,70,122
1,0,8,44,0,5,51,15,0,57,52,57,67,72,124
0,0,7,43,0,3,55,13,0,58,50,53,63,71,121
1,0,0,46,1,2,58,13,0,61,46,48,59,74,121
1,0,7,45,0,5,52,14,0,58,52,57,66,72,124
0,0,6,46,1,4,55,10,0,59,52,56,62,69,122
1,0,7,40,1,3,59,13,0,63,47,50,60,76,124
1,0,8,39,1,3,57,14,0,61,47,50,61,75,123
1,0,10,37,0,4,56,14,0,61,47,51,61,75,122
1,0,10,39,0,3,54,14,0,58,49,52,63,72,121
1,0,9,38,0,4,58,13,0,63,47,51,60,76,123
0,0,10,41,0,2,52,16,0,54,51,53,67,70,121
0,0,8,40,0,4,56,15,0,60,48,52,63,75,123
1,0,10,38,0,2,56,14,0,59,48,50,62,73,121
1,0,9,41,0,4,54,14,0,59,50,54,64,73,123
1,0,9,44,0,2,51,15,0,54,53,55,68,69,122
2,0,7,41,0,3,54,13,0,59,48,51,61,72,120
2,0,7,46,0,3,50,13,0,55,53,56,66,68,121
1,0,6,49,1,2,53,10,0,56,55,57,65,66,122
8,0,9,38,0,2,52,12,0,62,47,49,59,74,121
1,0,7,48,0,4,48,16,0,53,55,59,71,69,124
1,0,0,49,0,2,59,10,0,62,49,51,59,72,121
0,0,10,43,1,4,52,12,0,56,53,57,65,68,122
1,0,0,47,1,2,58,14,0,61,47,49,61,75,123
1,0,0,47,1,4,51,18,0,56,47,51,65,74,122
1,0,7,44,0,3,57,10,0,61,51,54,61,71,122
0,0,7,50,0,4,44,15,0,48,57,61,72,63,120
1,0,0,51,1,3,54,11,0,58,51,54,62,69,121
