"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 30, 2017",Louisiana,"Baton Rouge","6224 Plank Rd.",2,0,N/A
"December 30, 2017",Mississippi,Jackson,"400 block of Bonita Street",1,0,N/A
"December 30, 2017",Mississippi,Jackson,"212 Lindsey Drive",1,0,N/A
"December 30, 2017",Washington,Lynnwood,"16100 Ash Way",1,0,N/A
"December 30, 2017",Virginia,Martinsville,"1105 Brookdale Rd",1,0,N/A
"December 29, 2017",Oklahoma,Hartshorne,"1200 block of Lehigh Ave",1,1,N/A
"December 29, 2017",Kentucky,Leitchfield,"4334 Grayson Springs Rd",1,0,N/A
"December 29, 2017",Oklahoma,"Oklahoma City (Del City)","3900 block of SE 48th St",1,0,N/A
"December 29, 2017",Texas,Houston,"14300 S Post Oak Rd",3,0,N/A
"December 29, 2017",Texas,Houston,"5404 Nordling",1,0,N/A
"December 29, 2017",Colorado,"Adams (county)","Riverdale Rd",1,0,N/A
"December 29, 2017","North Carolina","Rocky Mount","2740 Stewart Ln",1,0,N/A
"December 29, 2017",Texas,"San Antonio","4700 block of Belinda Lee St",1,0,N/A
"December 29, 2017",Georgia,Columbus,"Lumpkin Ct",1,0,N/A
"December 29, 2017",California,"Long Beach","300 E San Antonio Dr",2,1,N/A
"December 29, 2017",Ohio,Lorain,"1900 block of Madison Ave",1,0,N/A
"December 29, 2017",California,"South Gate",N/A,1,0,N/A
"December 29, 2017","District of Columbia",Washington,"3900 block of 1st St SE",1,0,N/A
"December 29, 2017",Florida,"Avon Park","220 Garrett Rd",1,0,N/A
"December 29, 2017",Missouri,Springfield,"2655 N Glenstone Ave",1,0,N/A
"December 29, 2017",Mississippi,Jackson,"5400 block of Brookhollow Dr",1,0,N/A
"December 29, 2017",Illinois,Chicago,"12500 S Emerald Ave",1,1,N/A
"December 29, 2017",California,Bakersfield,"Spectrum Park Way",1,0,N/A
"December 29, 2017",Louisiana,"Baton Rouge","2400 block of Georgia Street",1,0,N/A
"December 29, 2017",Louisiana,"Baton Rouge","3200 Plank Rd",1,0,N/A
"December 29, 2017",Texas,"San Antonio","7300 Block of Marble Creek Dr",1,0,N/A
"December 29, 2017",California,Banning,"700 block of Hoffer St",1,1,N/A
"December 29, 2017",Virginia,Smithfield,"1205 S Church St",1,1,N/A
"December 29, 2017",California,Fontana,"11200 block of Poplar Ave",2,0,N/A
"December 28, 2017",Texas,Houston,"5901 Selinsky Rd",1,2,N/A
"December 28, 2017","North Carolina",Durham,"1200 Block of Wabash St",1,0,N/A
"December 28, 2017",California,"South Gate","9800 block of Bowman Ave",1,0,N/A
"December 28, 2017",Missouri,"Saint Louis","1700 block of Dick Gregory Pl",1,0,N/A
"December 28, 2017",Alabama,Birmingham,"Highway 280",1,0,N/A
"December 28, 2017","North Carolina","High Point","Garrison St",1,1,N/A
"December 28, 2017",Virginia,Fredericksburg,"18 Newcastle Pl",2,0,N/A
"December 28, 2017",Tennessee,Memphis,"Walden Glen Cove",1,1,N/A
"December 28, 2017",Texas,"Fort Worth","2300 block of New York Ave",1,0,N/A
"December 28, 2017",Georgia,Atlanta,"Linkwood Rd",1,0,N/A
"December 28, 2017",Kansas,Wichita,"1000 block of McCormick",1,0,N/A
"December 28, 2017",Tennessee,Chattanooga,"7600 block of N Bishop Dr",1,0,N/A
"December 28, 2017",California,Compton,"100 block of E Caldwell St",2,0,N/A
"December 28, 2017",Indiana,Elkhart,"2020 E Bristol St",1,0,N/A
"December 28, 2017",Pennsylvania,"Boyertown (Colebrookdale)","114 Cleaver School Road",1,0,N/A
